fecha,partido,apuesta,cuota,p_modelo,edge,importe,gano,banca
2018-06-20,Portugal - Morocco,EMPATE,3.67,0.3147,0.1551,0.75,False,51.06
2018-06-20,Portugal - Morocco,VISITANTE,5.97,0.3364,1.0081,2.55,False,48.51
2018-06-21,Denmark - Australia,EMPATE,3.42,0.306,0.0467,0.23,True,49.07
2018-06-21,Denmark - Australia,VISITANTE,4.62,0.3511,0.6222,2.11,False,46.97
2018-06-21,France - Peru,EMPATE,3.84,0.2928,0.1243,0.51,False,46.45
2018-06-21,France - Peru,VISITANTE,6.58,0.2018,0.328,0.68,False,45.77
2018-06-21,Argentina - Croatia,LOCAL,2.1,0.5013,0.0528,0.55,False,45.22
2018-06-22,Serbia - Switzerland,VISITANTE,2.96,0.463,0.3704,2.14,True,49.41
2018-06-22,Nigeria - Iceland,VISITANTE,2.71,0.5541,0.5016,2.47,False,46.94
2018-06-22,Brazil - Costa Rica,LOCAL,1.21,0.8547,0.0342,1.91,True,47.34
2018-06-23,Belgium - Tunisia,EMPATE,5.08,0.2316,0.1765,0.51,False,46.83
2018-06-23,Belgium - Tunisia,VISITANTE,11.48,0.1254,0.4394,0.49,False,46.34
2018-06-23,South Korea - Mexico,LOCAL,5.56,0.2402,0.3356,0.85,False,45.48
2018-06-23,South Korea - Mexico,EMPATE,3.82,0.2766,0.0567,0.23,False,45.25
2018-06-23,Germany - Sweden,EMPATE,4.62,0.267,0.2336,0.73,False,44.52
2018-06-23,Germany - Sweden,VISITANTE,7.45,0.1647,0.2271,0.39,False,44.13
2018-06-24,England - Panama,EMPATE,6.41,0.2345,0.5033,1.03,False,43.11
2018-06-24,England - Panama,VISITANTE,18.09,0.1193,1.1574,0.73,False,42.38
2018-06-24,Japan - Senegal,VISITANTE,2.67,0.4171,0.1136,0.72,False,41.65
2018-06-25,Saudi Arabia - Egypt,LOCAL,5.27,0.2726,0.4367,1.06,True,46.2
2018-06-25,Saudi Arabia - Egypt,EMPATE,3.62,0.2913,0.0545,0.24,False,45.96
2018-06-25,Iran - Portugal,LOCAL,6.24,0.1839,0.1473,0.32,False,45.64
2018-06-25,Iran - Portugal,EMPATE,4.04,0.257,0.0381,0.14,True,46.07
2018-06-25,Spain - Morocco,EMPATE,5.09,0.2462,0.2529,0.71,True,48.99
2018-06-25,Spain - Morocco,VISITANTE,9.86,0.1458,0.4373,0.6,False,48.38
2018-06-26,Denmark - France,VISITANTE,2.08,0.5351,0.113,1.27,False,47.12
2018-06-26,Australia - Peru,LOCAL,2.9,0.502,0.4559,2.36,False,44.76
2018-06-26,Nigeria - Argentina,LOCAL,5.91,0.1926,0.1385,0.32,False,44.45
2018-06-26,Nigeria - Argentina,EMPATE,5.14,0.2517,0.2936,0.79,False,43.66
2018-06-26,Iceland - Croatia,VISITANTE,1.84,0.6526,0.2008,2.18,True,45.49
2018-06-27,South Korea - Germany,LOCAL,18.76,0.1372,1.5746,1.01,True,63.4
2018-06-27,South Korea - Germany,EMPATE,8.19,0.2041,0.6712,1.48,False,61.92
2018-06-27,Switzerland - Costa Rica,LOCAL,1.61,0.7086,0.1409,3.1,False,58.82
2018-06-27,Serbia - Brazil,LOCAL,7.34,0.1428,0.0478,0.11,False,58.71
2018-06-27,Serbia - Brazil,EMPATE,4.64,0.231,0.0716,0.29,False,58.42
2018-06-28,Senegal - Colombia,LOCAL,5.07,0.3095,0.5693,2.04,False,56.38
2018-06-28,Senegal - Colombia,EMPATE,3.79,0.3051,0.1562,0.79,False,55.59
2018-06-28,Japan - Poland,LOCAL,2.96,0.7852,1.3243,2.78,False,52.81
2018-06-28,Panama - Tunisia,LOCAL,4.34,0.4093,0.7764,2.64,False,50.17
2018-06-28,Panama - Tunisia,EMPATE,3.73,0.2784,0.0383,0.18,False,49.99
2018-06-28,England - Belgium,LOCAL,2.46,0.5638,0.3869,2.5,False,47.49
2018-06-30,France - Argentina,VISITANTE,3.33,0.3316,0.1041,0.53,False,46.96
2018-06-30,Uruguay - Portugal,VISITANTE,2.74,0.4424,0.2121,1.43,False,45.53
2018-07-01,Russia - Spain,LOCAL,6.33,0.189,0.1963,0.42,False,45.11
2018-07-01,Russia - Spain,EMPATE,4.1,0.2686,0.1012,0.37,True,46.25
2018-07-01,Croatia - Denmark,LOCAL,1.99,0.5852,0.1645,1.92,False,44.33
2018-07-02,Brazil - Mexico,EMPATE,4.44,0.2632,0.1687,0.54,False,43.79
2018-07-02,Brazil - Mexico,VISITANTE,7.61,0.1667,0.2689,0.45,False,43.34
2018-07-02,Belgium - Japan,EMPATE,4.71,0.2873,0.3533,1.03,False,42.31
2018-07-02,Belgium - Japan,VISITANTE,8.58,0.2063,0.7703,1.07,False,41.24
2018-07-03,Sweden - Switzerland,LOCAL,3.37,0.3305,0.1139,0.5,True,42.41
2018-07-03,Colombia - England,VISITANTE,2.15,0.5391,0.1591,1.47,False,40.94
2018-07-06,Uruguay - France,LOCAL,4.61,0.42,0.9361,2.05,False,38.9
2018-07-06,Brazil - Belgium,LOCAL,2.12,0.5496,0.1651,1.43,False,37.46
2018-07-07,Sweden - England,LOCAL,5.07,0.2792,0.4157,0.96,False,36.51
2018-07-07,Russia - Croatia,VISITANTE,2.12,0.5204,0.1032,0.84,False,35.67
2018-07-10,France - Belgium,VISITANTE,3.02,0.3702,0.118,0.52,False,35.15
2018-07-14,Belgium - England,EMPATE,3.74,0.2937,0.0984,0.32,False,34.83
2018-07-14,Belgium - England,VISITANTE,3.18,0.3288,0.0457,0.18,False,34.65
2018-07-15,France - Croatia,LOCAL,2.13,0.5921,0.2612,1.73,True,36.61
2022-11-20,Qatar - Ecuador,LOCAL,3.59,0.4887,0.7543,1.83,False,34.78
2022-11-21,England - Iran,EMPATE,4.56,0.2844,0.2969,0.73,False,34.05
2022-11-21,England - Iran,VISITANTE,10.14,0.3433,2.481,1.7,False,32.35
2022-11-21,Senegal - Netherlands,VISITANTE,1.65,0.6451,0.0645,0.8,True,32.87
2022-11-21,United States - Wales,LOCAL,2.43,0.6796,0.6515,1.64,False,31.23
2022-11-22,Mexico - Poland,LOCAL,2.47,0.5328,0.316,1.56,False,29.66
2022-11-22,France - Australia,EMPATE,6.58,0.2368,0.5582,0.74,False,28.92
