fecha,equipo_local,equipo_visitante,lambda_local,lambda_visitante,marcador_previsto,prob_local,prob_empate,prob_visitante,resultado_1x2_previsto,marcador_real,resultado_1x2_real
2026-06-24,Mexico,Czech Republic,1.9874109,0.6877447,2-0,0.6758741237550924,0.20904888170575356,0.11507699453915406,LOCAL,3-0,LOCAL
2026-06-24,Morocco,Haiti,2.2967129,0.7330133,2-0,0.7227002579643337,0.17839049960957634,0.0989092424260899,LOCAL,4-2,LOCAL
2026-06-24,Scotland,Brazil,0.8494165,1.7157797,0-1,0.17869002625794447,0.2471616547072765,0.5741483190347791,VISITANTE,0-3,VISITANTE
2026-06-24,Bosnia and Herzegovina,Qatar,1.2808133,0.89950156,1-0,0.44689677068024797,0.2975778798733754,0.2555253494463765,LOCAL,3-1,LOCAL
2026-06-24,Canada,Switzerland,1.6198075,0.79799813,1-0,0.5640011070540034,0.2577035484916454,0.17829534445435105,LOCAL,1-2,VISITANTE
2026-06-24,South Africa,South Korea,0.86864066,1.572859,0-1,0.20212194497117122,0.2639720831145488,0.5339059719142801,VISITANTE,1-0,LOCAL
2026-06-25,Japan,Sweden,1.4526415,0.7923012,1-0,0.522147162618923,0.27873402829242455,0.19911880908865254,LOCAL,1-1,EMPATE
2026-06-25,Ecuador,Germany,0.6529931,2.6838133,0-2,0.06369127017198337,0.1367121303227444,0.7995965995052722,VISITANTE,2-1,LOCAL
2026-06-25,United States,Turkey,1.4366152,1.0493078,1-1,0.4539008420109208,0.2760450469072807,0.27005411108179844,LOCAL,2-3,VISITANTE
2026-06-25,Tunisia,Netherlands,0.7908461,2.3601506,0-2,0.10398209461346415,0.1759033929889984,0.7201145123975374,VISITANTE,1-3,VISITANTE
2026-06-25,Curaçao,Ivory Coast,0.79526114,1.8397769,0-1,0.15194240351104316,0.23131383679513104,0.6167437596938258,VISITANTE,0-2,VISITANTE
2026-06-25,Paraguay,Australia,1.1265912,1.0361632,1-1,0.369919723136664,0.3059927312251108,0.3240875456382252,LOCAL,0-0,EMPATE
2026-06-26,Egypt,Iran,1.1249017,1.3148601,1-1,0.3123111547112417,0.28402353951973486,0.40366530576902343,VISITANTE,1-1,EMPATE
2026-06-26,Cape Verde,Saudi Arabia,1.4273452,1.0788094,1-1,0.4445412080758423,0.2759895873524392,0.2794692045717185,LOCAL,0-0,EMPATE
2026-06-26,Uruguay,Spain,0.8614074,1.9646459,0-2,0.15280939940645846,0.21983980137599787,0.6273507992175437,VISITANTE,0-1,VISITANTE
2026-06-26,Norway,France,0.92353433,1.3414553,1-1,0.25201919580326426,0.28981377043932444,0.45816703375741136,VISITANTE,1-4,VISITANTE
2026-06-26,Senegal,Iraq,1.7209047,0.95409083,1-1,0.5490945930806654,0.24807075714107055,0.20283464977826407,LOCAL,5-0,LOCAL
2026-06-26,New Zealand,Belgium,0.7981668,2.461166,0-2,0.09784422076516873,0.16689978931078406,0.7352559899240472,VISITANTE,1-5,VISITANTE
2026-06-27,Colombia,Portugal,1.4260912,1.1612043,1-1,0.4254489297894526,0.2731127858469416,0.3014382843636058,LOCAL,0-0,EMPATE
2026-06-27,Panama,England,0.5108404,2.8987827,0-2,0.038754472703846916,0.10782334169426293,0.8534221856018902,VISITANTE,0-2,VISITANTE
2026-06-27,DR Congo,Uzbekistan,1.4694146,1.2860903,1-1,0.40943974243295267,0.26474088960225084,0.32581936796479655,LOCAL,3-1,LOCAL
2026-06-27,Croatia,Ghana,2.1964147,0.76072514,2-0,0.6981442256830139,0.19037311850728228,0.11148265580970382,LOCAL,2-1,LOCAL
2026-06-27,Algeria,Austria,0.94779205,1.5734503,1-1,0.2220344026810312,0.2638024875762983,0.5141631097426704,VISITANTE,3-3,EMPATE
2026-06-27,Jordan,Argentina,0.7071126,2.4903457,0-2,0.08183686451224292,0.15792750052627658,0.7602356349614804,VISITANTE,1-3,VISITANTE
