torneo,anio,n,rmse_baseline,logloss_baseline,acc_baseline,exacto_baseline,top3_baseline,n_baseline,rmse_adoptado,logloss_adoptado,acc_adoptado,exacto_adoptado,top3_adoptado,n_adoptado
African Cup of Nations,2026,16,1.024776687238525,0.788515662212423,0.625,0.1875,0.375,16,1.0031947885046058,0.7818135412486252,0.625,0.25,0.375,16
Confederations Cup,1995,8,1.5263629504958032,1.4466609737742977,0.125,0.125,0.25,8,1.4355147478989954,1.331066111100828,0.125,0.25,0.25,8
Confederations Cup,1997,16,1.5400530739077838,0.8823829668526738,0.625,0.0625,0.1875,16,1.5899132046042168,0.9199372470149003,0.625,0.0625,0.25,16
Confederations Cup,1999,16,1.690451985393704,0.8115896686263234,0.625,0.0625,0.25,16,1.6715568593213552,0.811295731755254,0.625,0.0625,0.3125,16
Confederations Cup,2001,16,1.2358538474205978,0.8179343579907761,0.8125,0.125,0.3125,16,1.2625440848279794,0.835318257728394,0.6875,0.125,0.3125,16
Confederations Cup,2003,16,1.2320421696468526,0.9694782763480453,0.625,0.0,0.25,16,1.2160281444823042,0.9473312860502836,0.5625,0.0,0.25,16
Confederations Cup,2005,16,1.3580511076441077,0.9439932256973557,0.5625,0.0625,0.125,16,1.3753670731355563,0.9357877770300753,0.625,0.125,0.125,16
Confederations Cup,2009,16,1.432273467774616,0.8710639504748717,0.625,0.125,0.1875,16,1.4201989421238363,0.8746330749967433,0.625,0.125,0.1875,16
Confederations Cup,2013,16,2.0351487689374954,0.755172675245928,0.6875,0.0,0.125,16,2.091129346225163,0.7575228372296448,0.75,0.0,0.125,16
Confederations Cup,2017,16,0.9567534010576701,0.8454111894809839,0.625,0.125,0.3125,16,0.8932105375510162,0.8308702527928427,0.6875,0.125,0.375,16
Copa América,1993,26,1.2663699629640661,1.1613119859827763,0.38461538461538464,0.15384615384615385,0.34615384615384615,26,1.2614503967934563,1.2006846135448972,0.38461538461538464,0.15384615384615385,0.3076923076923077,26
Copa América,1995,26,1.1370237819196816,0.9632571536978124,0.5384615384615384,0.19230769230769232,0.38461538461538464,26,1.1562482443587538,0.9685218976457973,0.5769230769230769,0.11538461538461539,0.38461538461538464,26
Copa América,1997,26,1.1826184127955963,0.820928199350775,0.6538461538461539,0.3076923076923077,0.46153846153846156,26,1.1881347973424554,0.8234032947580556,0.6538461538461539,0.2692307692307692,0.46153846153846156,26
Copa América,1999,26,1.0983965095501784,0.8397555330431945,0.6538461538461539,0.07692307692307693,0.34615384615384615,26,1.0762395304175565,0.8248357197023549,0.6923076923076923,0.11538461538461539,0.34615384615384615,26
Copa América,2001,26,1.102398207865696,0.9208787442838188,0.6153846153846154,0.19230769230769232,0.34615384615384615,26,1.0909928815245702,0.929014217181646,0.6538461538461539,0.23076923076923078,0.38461538461538464,26
Copa América,2004,26,1.0960500451438142,0.9333238899742912,0.5769230769230769,0.15384615384615385,0.38461538461538464,26,1.1220502665883114,0.9301214197554025,0.5769230769230769,0.15384615384615385,0.34615384615384615,26
Copa América,2007,26,1.6107840254405967,0.9687460781709546,0.6153846153846154,0.038461538461538464,0.19230769230769232,26,1.6182137400080647,0.9716557296798881,0.6538461538461539,0.038461538461538464,0.23076923076923078,26
Copa América,2011,26,1.2058170620913724,1.217851609533123,0.34615384615384615,0.07692307692307693,0.34615384615384615,26,1.1803902794958259,1.20055690279621,0.34615384615384615,0.07692307692307693,0.34615384615384615,26
Copa América,2015,26,1.2675492716793575,1.0379073530210199,0.4230769230769231,0.07692307692307693,0.23076923076923078,26,1.2676819858353345,1.0607335055789333,0.4230769230769231,0.07692307692307693,0.19230769230769232,26
Copa América,2016,32,1.482132621844095,0.9673183224858108,0.5625,0.0,0.21875,32,1.4856471055731826,0.9625630852757616,0.5625,0.03125,0.1875,32
Copa América,2019,26,1.2651556226085294,1.0407537111345417,0.46153846153846156,0.15384615384615385,0.38461538461538464,26,1.2514271410981155,1.0363327582684478,0.46153846153846156,0.15384615384615385,0.4230769230769231,26
Copa América,2021,28,1.0020927720966577,0.915966438801326,0.6071428571428571,0.10714285714285714,0.4642857142857143,28,0.9807296560688061,0.9007586577282973,0.6071428571428571,0.17857142857142858,0.4642857142857143,28
Copa América,2024,32,1.044355350269529,0.857144249201355,0.5625,0.15625,0.5625,32,1.0676744363139148,0.876456963052364,0.5,0.15625,0.5625,32
FIFA World Cup,1994,52,1.0968735987944083,1.051035895297637,0.4423076923076923,0.11538461538461539,0.23076923076923078,52,1.107215123453562,1.0294095689708862,0.46153846153846156,0.057692307692307696,0.3076923076923077,52
FIFA World Cup,1998,64,1.1123672069867017,0.9692697441219273,0.5,0.171875,0.296875,64,1.0970387657949316,0.9773733706636258,0.484375,0.15625,0.296875,64
FIFA World Cup,2002,64,1.078621523429406,0.9573133459450865,0.484375,0.171875,0.359375,64,1.0878581867933206,0.944653992971816,0.53125,0.234375,0.421875,64
FIFA World Cup,2006,64,1.1514407444574037,0.8917743213360837,0.59375,0.140625,0.390625,64,1.1269434838034842,0.8837800638460234,0.609375,0.09375,0.390625,64
FIFA World Cup,2010,64,1.1065618622646214,0.9405444629121497,0.53125,0.125,0.375,64,1.1015503682916723,0.946394106783378,0.546875,0.15625,0.375,64
FIFA World Cup,2014,64,1.2831325128319824,0.9946634074297305,0.59375,0.125,0.265625,64,1.2759448390725208,0.9850030466158471,0.59375,0.078125,0.28125,64
FIFA World Cup,2018,64,1.1740043764275907,1.0723575189197254,0.453125,0.109375,0.296875,64,1.1773808670215824,1.0715030533169418,0.484375,0.109375,0.3125,64
FIFA World Cup,2022,64,1.2782527277490492,1.0405919443983316,0.515625,0.09375,0.296875,64,1.2766194333335688,1.0357781252759715,0.5,0.078125,0.296875,64
