fecha,equipo_local,equipo_visitante,prob_local,prob_empate,prob_visitante,cuota_local,cuota_empate,cuota_visitante,resultado_1x2_real
2018-06-18,Sweden,South Korea,0.4631966044173649,0.2982098025256862,0.2385935930569488,2.27,3.04,3.86,LOCAL
2018-06-18,Belgium,Panama,0.7390559201051503,0.1763319260078883,0.0846121538869613,1.21,6.83,17.92,LOCAL
2018-06-18,Tunisia,England,0.2041370052143667,0.2817191411183094,0.5141438536673238,8.47,4.21,1.48,VISITANTE
2018-06-19,Russia,Egypt,0.3796132586544908,0.3020168289339894,0.3183699124115198,1.96,3.51,4.29,LOCAL
2018-06-19,Colombia,Japan,0.51778982396181,0.2857056002512051,0.1965045757869849,1.88,3.34,5.06,VISITANTE
2018-06-19,Poland,Senegal,0.3364391422277106,0.2891900520529047,0.3743708057193847,2.48,3.07,3.32,VISITANTE
2018-06-20,Uruguay,Saudi Arabia,0.5342989266206127,0.2820127185872391,0.1836883547921482,1.22,6.62,17.46,LOCAL
2018-06-20,Portugal,Morocco,0.3488950135617749,0.3147321314901245,0.3363728549481005,1.7,3.67,5.97,LOCAL
2018-06-20,Iran,Spain,0.2235556507982584,0.2771059394806363,0.4993384097211052,19.05,6.78,1.21,VISITANTE
2018-06-21,Denmark,Australia,0.3428240521819354,0.3060424241952782,0.3511335236227862,1.92,3.42,4.62,EMPATE
2018-06-21,France,Peru,0.5053786723488697,0.2927966062150496,0.2018247214360807,1.62,3.84,6.58,LOCAL
2018-06-21,Argentina,Croatia,0.5013478455269655,0.281614010924598,0.2170381435484364,2.1,3.27,4.04,VISITANTE
2018-06-22,Serbia,Switzerland,0.2409192253212435,0.296120064718756,0.4629607099600004,2.74,3.05,2.96,VISITANTE
2018-06-22,Nigeria,Iceland,0.2070093571307219,0.2388924477892025,0.5540981950800756,2.98,3.07,2.71,LOCAL
2018-06-22,Brazil,Costa Rica,0.8547236048712289,0.1125443729541245,0.0327320221746466,1.21,6.7,18.82,LOCAL
2018-06-23,Belgium,Tunisia,0.643032500084423,0.2315865027389351,0.1253809971766417,1.34,5.08,11.48,LOCAL
2018-06-23,South Korea,Mexico,0.240207807913011,0.276622597246793,0.4831695948401959,5.56,3.82,1.71,VISITANTE
2018-06-23,Germany,Sweden,0.5682791018058287,0.2670051665062329,0.1647157316879383,1.47,4.62,7.45,LOCAL
2018-06-24,England,Panama,0.646207288025059,0.2345310858103534,0.1192616261645876,1.22,6.41,18.09,LOCAL
2018-06-24,Japan,Senegal,0.2933809348133065,0.2895331665845972,0.4170858986020961,3.16,2.96,2.67,EMPATE
2018-06-24,Poland,Colombia,0.2958007956479273,0.2823917203026261,0.4218074840494464,3.46,3.45,2.22,VISITANTE
2018-06-25,Russia,Uruguay,0.3437260939324472,0.3053793903644913,0.3508945157030614,2.96,3.06,2.74,VISITANTE
2018-06-25,Spain,Morocco,0.6080739805479453,0.2461508097524398,0.1457752096996148,1.37,5.09,9.86,EMPATE
2018-06-25,Iran,Portugal,0.1838695857748992,0.2569550018152297,0.5591754124098711,6.24,4.04,1.61,EMPATE
2018-06-25,Saudi Arabia,Egypt,0.2726126379886478,0.2912950758086446,0.4360922862027075,5.27,3.62,1.78,LOCAL
2018-06-26,Denmark,France,0.1930857887695805,0.271820791018128,0.5350934202122916,5.27,2.78,2.08,EMPATE
2018-06-26,Australia,Peru,0.50202143930685,0.2784500174943117,0.2195285431988384,2.9,3.5,2.5,VISITANTE
2018-06-26,Nigeria,Argentina,0.1926337347647481,0.2516807777089593,0.5556854875262925,5.91,5.14,1.5,VISITANTE
2018-06-26,Iceland,Croatia,0.1258391444982546,0.22154044080373,0.6526204146980153,4.36,3.93,1.84,VISITANTE
2018-06-27,South Korea,Germany,0.1372380098540513,0.2040582890773773,0.6587037010685712,18.76,8.19,1.17,LOCAL
2018-06-27,Mexico,Sweden,0.4410398704088132,0.2954725741815754,0.2634875554096113,2.23,3.38,3.52,VISITANTE
2018-06-27,Switzerland,Costa Rica,0.7086091641224056,0.1995999827726303,0.0917908531049639,1.61,3.68,7.37,EMPATE
2018-06-27,Serbia,Brazil,0.1427532128868752,0.2309505917656048,0.62629619534752,7.34,4.64,1.48,VISITANTE
2018-06-28,Senegal,Colombia,0.3095238932842457,0.3050699167337386,0.3854061899820157,5.07,3.79,1.76,VISITANTE
